Pais1,Tot2003,Tot2004,Tot2005,Tot2006,Tot2007,Tot2008,Tot2009,Tot2010,Tasa2003,Tasa2004,Tasa2005,Tasa2006,Tasa2007,Tasa2008,Tasa2009,Tasa2010
Kenia,,1440.0,1365.0,1291.0,876.0,735.0,847.0,nan,,4.1,3.8,3.5,2.3,1.9,2.1,
Mauricio,53.0,40.0,38.0,64.0,77.0,69.0,57.0,51.0,4.3,3.2,3.0,5.1,6.0,5.4,4.4,3.9
Mozambique,,102.0,64.0,46.0,41.0,47.0,44.0,nan,,0.5,0.3,0.2,0.2,0.2,0.2,
Uganda,0.0,549.0,732.0,750.0,599.0,1536.0,619.0,709.0,2.0,2.0,2.6,2.6,2.0,4.9,1.9,2.1
Zimbabue,3858.0,4997.0,4790.0,4967.0,4762.0,3186.0,,nan,30.6,39.7,38.1,39.6,38.2,25.6,,
Camerún,451.0,555.0,592.0,580.0,447.0,,,nan,2.7,3.2,3.4,3.2,2.4,,,
Argelia,723.0,630.0,376.0,495.0,836.0,812.0,,nan,2.3,1.9,1.1,1.5,2.5,2.4,,
Marruecos,618.0,453.0,475.0,1063.0,1215.0,1130.0,1507.0,nan,2.1,1.5,1.6,3.5,3.9,3.6,4.8,
Sudán,,,,,,1189.0,,nan,,,,,,2.9,,
Botsuana,,,,,,,1754.0,1865.0,,,,,,,88.5,92.9
Lesoto,,,,,1797.0,1878.0,1777.0,nan,,,,,85.3,88.3,82.7,
Suazilandia,785.0,849.0,,,,,,nan,72.1,77.5,,,,,,
Guinea,,,,,92.0,,,nan,,,,,1.0,,,
Senegal,,,301.0,159.0,167.0,416.0,710.0,693.0,,,2.8,1.4,1.5,3.5,5.9,5.6
Sierra Leona,,,,,135.0,79.0,,nan,,,,,2.5,1.4,,
Bahamas,,,87.0,72.0,135.0,118.0,109.0,78.0,,,27.2,22.2,41.1,35.4,32.2,22.7
Barbados,,,,,,,68.0,nan,,,,,,,24.9,
Granada,,,23.0,22.0,30.0,31.0,57.0,32.0,,,22.4,21.4,29.0,29.9,54.8,30.6
Jamaica,,,,,,,695.0,668.0,,,,,,,25.5,24.4
Saint Kitts y las Nevis,,,,,,,16.0,15.0,,,,,,,30.9,28.6
San Vicente y las Granadinas,,66.0,87.0,50.0,60.0,36.0,54.0,28.0,,60.8,80.0,45.9,55.0,33.0,49.4,25.6
Trinidad y Tobago,,305.0,334.0,259.0,317.0,236.0,247.0,nan,,23.3,25.4,19.6,23.9,17.7,18.5,
Belice,,,48.0,44.0,,,30.0,21.0,,,17.1,15.3,,,9.8,6.7
Costa Rica,576.0,600.0,543.0,485.0,,,1685.0,nan,13.8,14.2,12.6,11.1,,,36.7,
El Salvador,,,1185.0,1140.0,,,756.0,681.0,,,19.6,18.8,,,12.3,11.0
Guatemala,,363.0,314.0,289.0,318.0,385.0,401.0,nan,,2.9,2.5,2.2,2.4,2.8,2.9,
México,,13650.0,13550.0,13894.0,14199.0,14078.0,14850.0,14993.0,,13.0,12.7,12.9,13.0,12.7,13.3,13.2
Nicaragua,,,1322.0,1524.0,,,,1829.0,,,24.4,27.7,,,,31.6
Panamánota 1,,629.0,771.0,792.0,855.0,713.0,809.0,996.0,,19.8,23.8,24.0,25.5,20.9,23.4,28.3
Argentina,,,3154.0,3264.0,3276.0,3367.0,,nan,,,8.2,8.4,8.3,8.5,,
Bolivia,,,1137.0,1137.0,1437.0,1596.0,1989.0,2587.0,,,12.4,12.2,15.2,16.6,20.4,26.1
Chile,1658.0,1845.0,1974.0,2034.0,1980.0,2233.0,,nan,10.4,11.4,12.1,12.4,11.9,13.3,,
Colombia,,1188.0,2627.0,3347.0,3379.0,3380.0,3540.0,3149.0,,2.8,6.1,7.7,7.6,7.5,7.8,6.8
Ecuador,1488.0,1246.0,1499.0,1484.0,,,,nan,22.9,9.4,11.2,10.9,,,,
Guyana,,,,,,,62.0,117.0,,,,,,,8.2,15.5
Paraguay,,,387.0,359.0,,,,nan,,,6.6,6.0,,,,
Perú,5991.0,5721.0,6268.0,6569.0,7208.0,7560.0,6751.0,nan,22.3,21.0,22.7,23.6,25.6,26.6,23.5,
Surinam,186.0,223.0,,,,,,nan,38.2,45.2,,,,,,
Uruguay,297.0,327.0,,,,,,nan,8.9,9.8,,,,,,
Bermuda,36.0,43.0,,,,,,nan,56.6,67.3,,,,,,
Canadá,531.0,587.0,565.0,570.0,528.0,490.0,471.0,576.0,1.7,1.8,1.8,1.7,1.6,1.5,1.4,1.7
Estados Unidos de América,93883.0,95089.0,94347.0,94472.0,92999.0,90750.0,89241.0,84767.0,32.2,32.3,31.8,31.5,30.6,29.8,29.0,27.3
Kazajistán,,,1583.0,1584.0,1514.0,1298.0,,nan,,,10.4,10.3,9.8,8.3,,
Kirguistán,296.0,278.0,298.0,271.0,300.0,303.0,303.0,314.0,5.9,5.5,5.9,5.3,5.8,5.8,5.7,5.9
Tayikistán,,53.0,54.0,56.0,47.0,55.0,36.0,nan,,0.8,0.8,0.9,0.7,0.8,0.5,
Turkmenistán,37.0,36.0,27.0,27.0,,,,nan,0.8,0.8,0.6,0.6,,,,
Hong Kong,70.0,92.0,99.0,96.0,107.0,105.0,136.0,112.0,1.0,1.4,1.5,1.4,1.6,1.5,1.9,1.6
Japón,2472.0,2176.0,2076.0,1948.0,1766.0,1582.0,1402.0,1289.0,2.0,1.7,1.6,1.5,1.4,1.3,1.1,1.0
Mongolia,386.0,378.0,320.0,314.0,355.0,354.0,332.0,342.0,15.5,15.0,12.6,12.2,13.5,13.3,12.2,12.4
República de Corea,5899.0,6321.0,,,,,,nan,12.7,13.5,,,,,,13.6
Brunéi,24.0,26.0,24.0,28.0,,,,nan,6.9,7.3,6.6,7.6,,,,
Filipinas,3084.0,2918.0,2962.0,2584.0,2409.0,2585.0,5813.0,nan,3.7,3.5,3.5,3.0,2.7,2.9,6.3,
Singapur,110.0,103.0,124.0,118.0,,,,nan,2.7,2.5,2.9,2.7,,,,
Tailandia,,,5071.0,5308.0,5152.0,4641.0,4676.0,4636.0,,,7.6,7.9,7.6,6.8,6.8,6.7
Bangladés,,,1121.0,1162.0,,,,nan,,,7.8,7.82,,,,
India,,3542.0,4026.0,4721.0,5045.0,5446.0,5368.0,5484.0,,0.3,0.4,0.4,0.4,0.5,0.4,0.4
Maldivas,2.0,1.0,,,5.0,9.0,,nan,0.7,0.3,,,1.6,2.9,,
Nepal,,,191.0,210.0,,,,nan,,,0.7,0.8,,,,
Sri Lanka,1378.0,1432.0,,,,,,nan,7.1,7.3,,,,,,
Armenia,3.0,9.0,15.0,7.0,5.0,15.0,15.0,11.0,0.1,0.3,0.5,0.2,0.2,0.5,0.5,0.4
Azerbaiyán,49.0,25.0,44.0,35.0,34.0,25.0,35.0,16.0,0.6,0.3,0.5,0.4,0.4,0.3,0.4,0.2
Baréin,19.0,27.0,25.0,17.0,21.0,36.0,,nan,2.9,4.0,3.4,2.1,2.3,3.4,,
Chipre,32.0,41.0,39.0,29.0,19.0,34.0,27.0,nan,3.2,4.0,3.8,2.8,1.8,3.2,2.5,
Georgia,52.0,62.0,141.0,167.0,156.0,100.0,84.0,82.0,1.1,1.4,3.1,3.8,3.5,2.3,1.9,1.9
Israel,,1319.0,1223.0,1291.0,1270.0,1243.0,,nan,,20.4,18.5,19.1,18.4,17.5,,
Jordania,,,78.0,110.0,,,,nan,,,1.5,2.0,,,,
Kuwait,,98.0,108.0,125.0,137.0,120.0,119.0,nan,,4.5,4.8,5.3,5.6,4.7,4.5,
Líbano,,,39.0,19.0,,,,nan,,,1.0,0.5,,,,
Palestina,85.0,98.0,105.0,,,,,nan,2.5,2.8,3.0,,,,,
Omán,,,,,132.0,183.0,,nan,,,,,5.2,6.9,,
Catar,11.0,13.0,,,,,,nan,1.7,1.8,,,,,,
Siria,131.0,97.0,135.0,112.0,125.0,156.0,,nan,0.7,0.5,0.7,0.6,0.6,0.8,,
Turquía,1604.0,1638.0,1694.0,1783.0,1148.0,1071.0,,nan,2.4,2.4,2.5,2.6,1.6,1.5,,
Emiratos Árabes Unidos,44.0,52.0,62.0,72.0,,,,nan,1.3,1.4,1.5,1.5,,,,
Yemen,,,95.0,95.0,125.0,158.0,176.0,nan,,,0.5,0.4,0.6,0.7,0.8,
Bielorrusia,432.0,386.0,483.0,353.0,336.0,240.0,218.0,nan,4.4,3.9,4.9,3.6,3.5,2.5,2.3,
Bulgaria,611.0,529.0,403.0,310.0,225.0,262.0,246.0,211.0,7.8,6.8,5.2,4.0,2.9,3.5,3.3,2.8
República Checa,646.0,687.0,596.0,530.0,637.0,529.0,480.0,nan,6.3,6.7,5.8,5.2,6.2,5.1,4.6,
Hungría,535.0,267.0,264.0,206.0,215.0,214.0,228.0,246.0,5.3,2.6,2.6,2.0,2.1,2.1,2.3,2.5
Polonia,2322.0,2176.0,1987.0,2001.0,1827.0,1611.0,1530.0,1567.0,6.1,5.7,5.2,5.2,4.8,4.2,4.0,4.1
Moldavia,272.0,297.0,280.0,268.0,281.0,306.0,264.0,368.0,7.0,7.8,7.4,7.2,7.7,8.4,7.3,10.3
Rumanía,983.0,953.0,1013.0,1116.0,1047.0,1016.0,1007.0,nan,4.5,4.4,4.7,5.1,4.8,4.7,4.7,
Rusia,8185.0,8848.0,9222.0,8871.0,7038.0,6208.0,5398.0,4907.0,5.6,6.1,6.4,6.2,4.9,4.3,3.8,3.4
Eslovaquia,233.0,224.0,200.0,174.0,182.0,152.0,142.0,nan,4.3,4.1,3.7,3.2,3.4,2.8,2.6,
Ucrania,1048.0,964.0,924.0,993.0,878.0,880.0,758.0,635.0,2.2,2.0,2.0,2.1,1.9,1.9,1.7,1.4
Dinamarca,472.0,562.0,475.0,527.0,492.0,396.0,400.0,nan,8.8,10.4,8.8,9.7,9.0,7.2,6.4,
Estonia,107.0,121.0,179.0,153.0,122.0,160.0,124.0,81.0,7.9,9.0,13.3,11.4,9.1,11.9,9.2,6.0
Finlandia,573.0,595.0,593.0,613.0,739.0,915.0,660.0,818.0,11.0,11.4,11.3,11.6,14.0,17.2,12.4,15.2
Islandia,69.0,51.0,75.0,72.0,87.0,68.0,78.0,nan,23.8,17.4,25.3,23.9,28.5,21.9,24.7,
Irlanda,370.0,409.0,451.0,371.0,357.0,348.0,377.0,479.0,9.2,10.0,10.8,8.8,8.3,8.0,8.5,10.7
Letonia,123.0,319.0,251.0,129.0,93.0,100.0,69.0,78.0,5.3,13.8,10.9,5.6,4.1,4.4,3.1,3.5
Lituania,278.0,260.0,265.0,253.0,200.0,164.0,149.0,208.0,8.1,7.6,7.8,7.4,5.9,4.9,4.5,6.3
Noruega,706.0,739.0,798.0,840.0,945.0,944.0,998.0,938.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
Suecia,2235.0,2261.0,3787.0,4208.0,4749.0,5446.0,5937.0,5960.0,25.0,25.2,41.9,46.3,51.8,59.0,63.8,63.5
Pakistánnota 1,3247.0,3600.0,3450.0,3570.0,389015.0,3680.0,3500.0,3478.0,22.316,29.7,25.0,24.4,27.7,25.6,27.4,28.8
Reino Unido (Escocia),794.0,900.0,975.0,922.0,908.0,821.0,884.0,nan,15.7,17.7,19.1,18.0,17.7,15.9,17.0,
Albania,,,49.0,40.0,41.0,39.0,34.0,24.0,,,1.6,1.3,1.3,1.2,1.1,0.7
Andorra,,,,,2.0,2.0,0.0,1.0,,,,,2.5,2.4,0.0,1.2
Bosnia y Herzegovina,,,39.0,40.0,44.0,35.0,29.0,46.0,,,1.0,1.1,1.2,0.9,0.8,1.2
Croacia,213.0,165.0,142.0,187.0,162.0,188.0,129.0,141.0,4.8,3.7,3.2,4.2,3.7,4.3,2.9,3.2
Grecia,231.0,240.0,177.0,182.0,185.0,232.0,213.0,215.0,2.1,2.2,1.6,1.6,1.6,2.1,1.9,1.9
Italia,2744.0,3734.0,4020.0,4513.0,,,,nan,4.7,6.4,6.9,7.6,,,,
Malta nota 1,11.0,13.0,7.0,17.0,10.0,19.0,12.0,11.0,2.7,3.2,1.7,4.1,2.4,4.6,2.9,2.6
Montenegro,,,8.0,11.0,,,,nan,,,1.3,1.8,,,,
Portugal,392.0,338.0,365.0,341.0,305.0,314.0,377.0,424.0,3.7,3.2,3.5,3.2,2.9,3.0,3.5,4.0
Serbia,,,89.0,115.0,105.0,123.0,111.0,72.0,,,0.9,1.2,1.1,1.2,1.1,0.7
Eslovenia,70.0,87.0,58.0,55.0,97.0,57.0,79.0,63.0,3.5,4.4,2.9,2.7,4.8,2.8,3.9,3.1
España,,,2140.0,2102.0,2530.0,2437.0,2051.0,1578.0,,,4.9,4.8,5.7,5.4,4.5,3.4
República de Macedonia,,,93.0,103.0,,,,nan,,,4.6,5.0,,,,
Austria,,687.0,678.0,700.0,710.0,693.0,779.0,875.0,,8.4,8.2,8.5,8.5,8.3,9.3,10.4
Bélgica,2850.0,2944.0,3029.0,3194.0,3232.0,3126.0,2953.0,2991.0,27.7,28.4,29.1,30.5,30.7,29.5,27.7,27.9
Francia,10408.0,10506.0,9993.0,9784.0,10132.0,10277.0,10108.0,nan,17.3,17.3,16.4,15.9,16.4,16.5,16.2,
Alemania,8766.0,8831.0,8133.0,8118.0,7511.0,7292.0,7314.0,7724.0,10.6,10.7,9.9,9.8,9.1,8.8,8.9,9.4
Liechtenstein,0.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,2.9,11.5,5.7,2.8,8.4,0.0,0.0
Luxemburgo,,,,40.0,44.0,57.0,,nan,,,,8.6,9.2,11.7,,
Mónaco,1.0,,3.0,2.0,,,,nan,2.8,,8.5,5.7,,,,
Países Bajos,1700.0,1800.0,2485.0,2385.0,2095.0,1920.0,1850.0,1530.0,10.5,11.1,15.2,14.6,12.7,11.6,11.2,9.2
Suizanota 1,547.0,573.0,646.0,639.0,648.0,612.0,666.0,543.0,7.5,7.8,8.7,8.6,8.6,8.1,8.7,7.1
Australia,,,,,,6382.0,6343.0,6378.0,,,,,,29.7,29.0,28.6
Nueva Zelanda,,,994.0,1183.0,1143.0,1130.0,1128.0,1129.0,,,24.0,28.3,27.0,26.4,26.1,25.8
Sudáfrica,,69117.0,68076.0,65201.0,63818.0,70514.0,68332.0,66196.0,,148.4,145.2,137.6,133.4,144.8,138.5,132.4
Islas Solomon,,170.0,65.0,79.0,61.0,56.0,,nan,,37.2,13.8,16.4,12.3,11.0,,
